standard_sort	unit_id	parent_unit_id	unit_name	strat_index	rank	start_age_ma	end_age_ma	start_age_err_ma	font_color	cmyk	cyan	magenta	yellow	black	rgb	red	green	blue	html_rgb_hash
44	75	39	Paleocene	Pg1	Series	56	66		Black	0/40/60/0	0	40	60	0	253/167/95	253	167	95	#FDA75F
45	39	15	Paleogene	Pg	System	23.03	66		Black	5/0/90/0	5	0	90	0	253/154/82	253	154	82	#FD9A52
46	15	5	Cenozoic	KZ	Erathem	0	66		Black	40/0/5/0	40	0	5	0	242/249/29	242	249	29	#F2F91D
47	170	74	Maastrichtian	K2m	Stage	66	72.1 ±0.2		Black	5/0/45/0	5	0	45	0	242/250/140	242	250	140	#F2FA8C
48	169	74	Campanian	K2cm	Stage	72.1 ±0.2	83.6 ±0.2		Black	10/0/50/0	10	0	50	0	230/244/127	230	244	127	#E6F47F
49	168	74	Santonian	K2st	Stage	83.6 ±0.2	86.3 ±0.5		Black	15/0/55/0	15	0	55	0	217/239/116	217	239	116	#D9EF74
50	167	74	Coniacian	K2cn	Stage	86.3 ±0.5	89.8 ±0.3		Black	20/0/60/0	20	0	60	0	204/233/104	204	233	104	#CCE968
51	166	74	Turonian	K2t	Stage	89.8 ±0.3	93.9		Black	25/0/65/0	25	0	65	0	191/227/93	191	227	93	#BFE35D
52	165	74	Cenomanian	K2c	Stage	93.9	100.5		Black	30/0/70/0	30	0	70	0	179/222/83	179	222	83	#B3DE53
53	74	38	Upper Cretaceous	K2	Series	66	100.5		Black	35/0/75/0	35	0	75	0	166/216/74	166	216	74	#A6D84A
54	164	73	Albian	K1al	Stage	100.5	~ 113.0		Black	20/0/40/0	20	0	40	0	204/234/151	204	234	151	#CCEA97
55	163	73	Aptian	K1a	Stage	~ 113.0	~ 121.4		Black	25/0/45/0	25	0	45	0	191/228/138	191	228	138	#BFE48A
56	162	73	Barremian	K1br	Stage	~ 121.4	125.77		Black	30/0/50/0	30	0	50	0	179/223/127	179	223	127	#B3DF7F
57	161	73	Hauterivian	K1h	Stage	125.77	~ 132.6		Black	35/0/55/0	35	0	55	0	166/217/117	166	217	117	#A6D975
58	160	73	Valanginian	K1v	Stage	~ 132.6	~ 139.8		Black	40/0/60/0	40	0	60	0	153/211/106	153	211	106	#99D36A
59	159	73	Berriasian	K1b	Stage	~ 139.8	~ 145.0		Black	45/0/65/0	45	0	65	0	140/205/96	140	205	96	#8CCD60
60	73	38	Lower Cretaceous	K1	Series	100.5	~ 145.0		Black	45/0/70/0	45	0	70	0	140/205/87	140	205	87	#8CCD57
